key,game_str,play_id,safe_out
1900_05_TeamKK_TeamB_218,1900_05_TeamKK_TeamB,218,0
1901_02_TeamLG_TeamA3_99,1901_02_TeamLG_TeamA3,99,1
1901_02_TeamLG_TeamA3_282,1901_02_TeamLG_TeamA3,282,1
1901_05_TeamLI_TeamA3_12,1901_05_TeamLI_TeamA3,12,1
1901_05_TeamLI_TeamA3_81,1901_05_TeamLI_TeamA3,81,
1901_08_TeamLK_TeamB_22,1901_08_TeamLK_TeamB,22,
1901_08_TeamLK_TeamB_42,1901_08_TeamLK_TeamB,42,
1901_08_TeamLK_TeamB_60,1901_08_TeamLK_TeamB,60,
1901_08_TeamLK_TeamB_222,1901_08_TeamLK_TeamB,222,
1901_10_TeamLJ_TeamB_207,1901_10_TeamLJ_TeamB,207,
1901_11_TeamLJ_TeamB_39,1901_11_TeamLJ_TeamB,39,
1901_11_TeamLJ_TeamB_119,1901_11_TeamLJ_TeamB,119,
1901_11_TeamLJ_TeamB_174,1901_11_TeamLJ_TeamB,174,
1901_11_TeamLJ_TeamB_208,1901_11_TeamLJ_TeamB,208,
1901_12_TeamLJ_TeamB_189,1901_12_TeamLJ_TeamB,189,
1901_13_TeamLL_TeamB_104,1901_13_TeamLL_TeamB,104,
1901_13_TeamLL_TeamB_152,1901_13_TeamLL_TeamB,152,
1901_14_TeamLL_TeamB_65,1901_14_TeamLL_TeamB,65,
1901_14_TeamLL_TeamB_75,1901_14_TeamLL_TeamB,75,
1901_14_TeamLL_TeamB_134,1901_14_TeamLL_TeamB,134,
1901_15_TeamLL_TeamB_113,1901_15_TeamLL_TeamB,113,
1901_15_TeamLL_TeamB_146,1901_15_TeamLL_TeamB,146,
1901_15_TeamLL_TeamB_215,1901_15_TeamLL_TeamB,215,
1901_16_TeamLH_TeamA3_100,1901_16_TeamLH_TeamA3,100,
1901_17_TeamLH_TeamA3_124,1901_17_TeamLH_TeamA3,124,
1901_18_TeamLH_TeamA3_19,1901_18_TeamLH_TeamA3,19,
1901_18_TeamLH_TeamA3_221,1901_18_TeamLH_TeamA3,221,
1902_01_TeamMG_TeamA3_74,1902_01_TeamMG_TeamA3,74,
1902_01_TeamMG_TeamA3_186,1902_01_TeamMG_TeamA3,186,
1902_03_TeamMG_TeamA3_117,1902_03_TeamMG_TeamA3,117,
1902_03_TeamMG_TeamA3_271,1902_03_TeamMG_TeamA3,271,
1902_05_TeamML_TeamB_17,1902_05_TeamML_TeamB,17,
1902_08_TeamMJ_TeamB_12,1902_08_TeamMJ_TeamB,12,
1902_08_TeamMJ_TeamB_80,1902_08_TeamMJ_TeamB,80,
1902_08_TeamMJ_TeamB_103,1902_08_TeamMJ_TeamB,103,
1902_08_TeamMJ_TeamB_169,1902_08_TeamMJ_TeamB,169,
1902_08_TeamMJ_TeamB_222,1902_08_TeamMJ_TeamB,222,
1902_09_TeamMJ_TeamB_204,1902_09_TeamMJ_TeamB,204,
1902_09_TeamMJ_TeamB_252,1902_09_TeamMJ_TeamB,252,
1902_09_TeamMJ_TeamB_264,1902_09_TeamMJ_TeamB,264,
1902_09_TeamMJ_TeamB_296,1902_09_TeamMJ_TeamB,296,
1902_10_TeamMI_TeamA3_145,1902_10_TeamMI_TeamA3,145,
1902_10_TeamMI_TeamA3_199,1902_10_TeamMI_TeamA3,199,
1902_10_TeamMI_TeamA3_278,1902_10_TeamMI_TeamA3,278,
1902_11_TeamMI_TeamA3_25,1902_11_TeamMI_TeamA3,25,
1902_11_TeamMI_TeamA3_205,1902_11_TeamMI_TeamA3,205,
1902_12_TeamMI_TeamA3_61,1902_12_TeamMI_TeamA3,61,
1902_13_TeamMD_TeamA2_86,1902_13_TeamMD_TeamA2,86,
1902_13_TeamMD_TeamA2_297,1902_13_TeamMD_TeamA2,297,
1902_13_TeamMK_TeamB_55,1902_13_TeamMK_TeamB,55,
1902_13_TeamMK_TeamB_66,1902_13_TeamMK_TeamB,66,
1902_14_TeamMD_TeamA2_45,1902_14_TeamMD_TeamA2,45,
1902_14_TeamMD_TeamA2_306,1902_14_TeamMD_TeamA2,306,
1902_14_TeamMK_TeamB_57,1902_14_TeamMK_TeamB,57,
1902_15_TeamMK_TeamB_67,1902_15_TeamMK_TeamB,67,
1902_15_TeamMK_TeamB_155,1902_15_TeamMK_TeamB,155,
1902_16_TeamMD_TeamA2_49,1902_16_TeamMD_TeamA2,49,
1902_16_TeamMD_TeamA2_198,1902_16_TeamMD_TeamA2,198,
1902_16_TeamMD_TeamA2_215,1902_16_TeamMD_TeamA2,215,
1902_17_TeamMB_TeamA1_192,1902_17_TeamMB_TeamA1,192,
1902_18_TeamMB_TeamA1_187,1902_18_TeamMB_TeamA1,187,
1902_20_TeamME_TeamA2_77,1902_20_TeamME_TeamA2,77,
1902_20_TeamME_TeamA2_204,1902_20_TeamME_TeamA2,204,
1902_22_TeamMA_TeamA1_117,1902_22_TeamMA_TeamA1,117,
1902_23_TeamMA_TeamA1_80,1902_23_TeamMA_TeamA1,80,
1902_23_TeamMA_TeamA1_99,1902_23_TeamMA_TeamA1,99,
1902_23_TeamMA_TeamA1_240,1902_23_TeamMA_TeamA1,240,
1902_24_TeamMA_TeamA1_34,1902_24_TeamMA_TeamA1,34,
1902_24_TeamMA_TeamA1_198,1902_24_TeamMA_TeamA1,198,
1902_24_TeamMA_TeamA1_239,1902_24_TeamMA_TeamA1,239,
1902_25_TeamMH_TeamA3_274,1902_25_TeamMH_TeamA3,274,
1902_26_TeamMC_TeamA1_41,1902_26_TeamMC_TeamA1,41,
1902_26_TeamMH_TeamA3_55,1902_26_TeamMH_TeamA3,55,
